Domain ID (level 1),Domain Title (level 1),Category ID (level 2),Category Title (level 2),Sub Category ID (level 3),Sub Category Title (level 3),,,,,,
714,Writing and Drawing Tools,1581,White Boards,1626,Erase board,,,,,,
714,Writing and Drawing Tools,1581,White Boards,1660,Plaid fold board,,,,,,
714,Writing and Drawing Tools,1581,White Boards,1661,Planing whiteboards,,,,,,
714,Writing and Drawing Tools,1581,White Boards,1582,White board,,,,,,
714,Writing and Drawing Tools,1581,White Boards,2640,Whiteboard Reminders,,,,,,
714,Writing and Drawing Tools,1581,White Boards,1690,Whiteboards and Corkboards,,,,,,
714,Writing and Drawing Tools,1627,Marker Pen,1628,Marker pen for white board,,,,,,
714,Writing and Drawing Tools,1691,Pen,2562, Pen and pencils for Computer,,,,,,
714,Writing and Drawing Tools,1691,Pen,2564, Tablet and Smartphone,,,,,,
714,Writing and Drawing Tools,1691,Pen,2563, i-pad,,,,,,
714,Writing and Drawing Tools,1691,Pen,1720,"Pen and pencils for Computer, i-pad, Tablet and Smartphone",,,,,,
714,Writing and Drawing Tools,1691,Pen,1692,Pen,,,,,,
714,Writing and Drawing Tools,1691,Pen,2561,Pen,,,,,,
714,Writing and Drawing Tools,1756,Scan Writers,1757,Scan Writers,,,,,,
714,Writing and Drawing Tools,1682,Graph Papers,1684,Calculation Blocks,,,,,,
714,Writing and Drawing Tools,1682,Graph Papers,1683,Math Graph Papers,,,,,,
714,Writing and Drawing Tools,1682,Graph Papers,2478,Math Graph Papers,,,,,,
714,Writing and Drawing Tools,1286,Pencil Holders,1287,Pencil holder,,,,,,
760,"Reminders, Alarms and Indicators",1200,Food Thermometers,2595, voice output cooking thermometer,,,,,,
760,"Reminders, Alarms and Indicators",1200,Food Thermometers,1201,Food Thermometers,,,,,,
760,"Reminders, Alarms and Indicators",1200,Food Thermometers,2594,tactile cooking thermometer,,,,,,
760,"Reminders, Alarms and Indicators",1135,Alarms,1136,Alarms,,,,,,
760,"Reminders, Alarms and Indicators",1135,Alarms,1524,Clocks and calenders alarms,,,,,,
